Test;Elementos;Operacion;Tiempo
unordered_map_string;1000;insert;589300
unordered_map_string;1000;search;150800
unordered_map_string;1000;search_nouser;118400
unordered_map_string;5000;insert;2366000
unordered_map_string;5000;search;800300
unordered_map_string;5000;search_nouser;592000
unordered_map_string;10000;insert;5062300
unordered_map_string;10000;search;2343100
unordered_map_string;10000;search_nouser;1084200
unordered_map_string;15000;insert;7303900
unordered_map_string;15000;search;3149600
unordered_map_string;15000;search_nouser;1512900
unordered_map_string;20000;insert;10464600
unordered_map_string;20000;search;4935400
unordered_map_string;20000;search_nouser;2078300
unordered_map_string;1000;insert;545200
unordered_map_string;1000;search;205300
unordered_map_string;1000;search_nouser;139100
unordered_map_string;5000;insert;2310900
unordered_map_string;5000;search;862000
unordered_map_string;5000;search_nouser;640900
unordered_map_string;10000;insert;4786100
unordered_map_string;10000;search;2077900
unordered_map_string;10000;search_nouser;1080700
unordered_map_string;15000;insert;7475700
unordered_map_string;15000;search;3350500
unordered_map_string;15000;search_nouser;1757800
unordered_map_string;20000;insert;9353100
unordered_map_string;20000;search;6140600
unordered_map_string;20000;search_nouser;2297900
unordered_map_string;1000;insert;541900
unordered_map_string;1000;search;191500
unordered_map_string;1000;search_nouser;125600
unordered_map_string;5000;insert;2272900
unordered_map_string;5000;search;929600
unordered_map_string;5000;search_nouser;601200
unordered_map_string;10000;insert;4775000
unordered_map_string;10000;search;1756100
unordered_map_string;10000;search_nouser;1169800
unordered_map_string;15000;insert;7161100
unordered_map_string;15000;search;3420800
unordered_map_string;15000;search_nouser;1748600
unordered_map_string;20000;insert;10130200
unordered_map_string;20000;search;4764500
unordered_map_string;20000;search_nouser;2308100
unordered_map_string;1000;insert;475000
unordered_map_string;1000;search;158300
unordered_map_string;1000;search_nouser;101400
unordered_map_string;5000;insert;2388400
unordered_map_string;5000;search;822600
unordered_map_string;5000;search_nouser;596900
unordered_map_string;10000;insert;5008300
unordered_map_string;10000;search;2179100
unordered_map_string;10000;search_nouser;1072000
unordered_map_string;15000;insert;7503500
unordered_map_string;15000;search;3371100
unordered_map_string;15000;search_nouser;1493400
unordered_map_string;20000;insert;9323000
unordered_map_string;20000;search;4546200
unordered_map_string;20000;search_nouser;2281900
unordered_map_string;1000;insert;552800
unordered_map_string;1000;search;151800
unordered_map_string;1000;search_nouser;117000
unordered_map_string;5000;insert;2335000
unordered_map_string;5000;search;815700
unordered_map_string;5000;search_nouser;594500
unordered_map_string;10000;insert;4477400
unordered_map_string;10000;search;2113700
unordered_map_string;10000;search_nouser;1069800
unordered_map_string;15000;insert;6990500
unordered_map_string;15000;search;3093100
unordered_map_string;15000;search_nouser;1512800
unordered_map_string;20000;insert;9622600
unordered_map_string;20000;search;4836100
unordered_map_string;20000;search_nouser;2314200
unordered_map_string;1000;insert;564000
unordered_map_string;1000;search;156500
unordered_map_string;1000;search_nouser;100300
unordered_map_string;5000;insert;2526900
unordered_map_string;5000;search;799800
unordered_map_string;5000;search_nouser;591500
unordered_map_string;10000;insert;5201300
unordered_map_string;10000;search;2206300
unordered_map_string;10000;search_nouser;1256200
unordered_map_string;15000;insert;7453700
unordered_map_string;15000;search;3391100
unordered_map_string;15000;search_nouser;1642000
unordered_map_string;20000;insert;9736800
unordered_map_string;20000;search;4776300
unordered_map_string;20000;search_nouser;2268200
unordered_map_string;1000;insert;620900
unordered_map_string;1000;search;185500
unordered_map_string;1000;search_nouser;146400
unordered_map_string;5000;insert;2379200
unordered_map_string;5000;search;940700
unordered_map_string;5000;search_nouser;596100
unordered_map_string;10000;insert;4889700
unordered_map_string;10000;search;2119700
unordered_map_string;10000;search_nouser;1072500
unordered_map_string;15000;insert;7594100
unordered_map_string;15000;search;3693100
unordered_map_string;15000;search_nouser;1754700
unordered_map_string;20000;insert;14412300
unordered_map_string;20000;search;8654400
unordered_map_string;20000;search_nouser;2798600
unordered_map_string;1000;insert;674900
unordered_map_string;1000;search;213400
unordered_map_string;1000;search_nouser;131600
unordered_map_string;5000;insert;2589600
unordered_map_string;5000;search;906900
unordered_map_string;5000;search_nouser;588900
unordered_map_string;10000;insert;4876300
unordered_map_string;10000;search;2041200
unordered_map_string;10000;search_nouser;1069800
unordered_map_string;15000;insert;8146300
unordered_map_string;15000;search;3450400
unordered_map_string;15000;search_nouser;1501000
unordered_map_string;20000;insert;10236300
unordered_map_string;20000;search;4751800
unordered_map_string;20000;search_nouser;2285600
unordered_map_string;1000;insert;693200
unordered_map_string;1000;search;172700
unordered_map_string;1000;search_nouser;117200
unordered_map_string;5000;insert;2374100
unordered_map_string;5000;search;794300
unordered_map_string;5000;search_nouser;591900
unordered_map_string;10000;insert;4817800
unordered_map_string;10000;search;2108300
unordered_map_string;10000;search_nouser;1071400
unordered_map_string;15000;insert;8064500
unordered_map_string;15000;search;3943200
unordered_map_string;15000;search_nouser;1763400
unordered_map_string;20000;insert;10330500
unordered_map_string;20000;search;5381000
unordered_map_string;20000;search_nouser;2290600
unordered_map_string;1000;insert;625000
unordered_map_string;1000;search;166500
unordered_map_string;1000;search_nouser;117200
unordered_map_string;5000;insert;2328100
unordered_map_string;5000;search;793200
unordered_map_string;5000;search_nouser;593900
unordered_map_string;10000;insert;4535900
unordered_map_string;10000;search;2087700
unordered_map_string;10000;search_nouser;1071800
unordered_map_string;15000;insert;7595100
unordered_map_string;15000;search;2891200
unordered_map_string;15000;search_nouser;1770800
unordered_map_string;20000;insert;10369400
unordered_map_string;20000;search;5268200
unordered_map_string;20000;search_nouser;2287500
unordered_map_string;1000;insert;565700
unordered_map_string;1000;search;152300
unordered_map_string;1000;search_nouser;105300
unordered_map_string;5000;insert;2367200
unordered_map_string;5000;search;820200
unordered_map_string;5000;search_nouser;598600
unordered_map_string;10000;insert;4914300
unordered_map_string;10000;search;2087100
unordered_map_string;10000;search_nouser;1072700
unordered_map_string;15000;insert;7371200
unordered_map_string;15000;search;3367100
unordered_map_string;15000;search_nouser;1551900
unordered_map_string;20000;insert;10410700
unordered_map_string;20000;search;5201500
unordered_map_string;20000;search_nouser;2282900
unordered_map_string;1000;insert;677000
unordered_map_string;1000;search;187600
unordered_map_string;1000;search_nouser;129800
unordered_map_string;5000;insert;2465600
